seed,model,task_id,task_name,route_drift,latent_drift,output_drift
2,Mutualistic09_route_memory_only,1,2 vs 3,0.003819189761998132,0.28835077211260796,0.665998175740242
2,Mutualistic09_route_memory_only,2,4 vs 5,0.0035813891590805724,0.22262600995600224,0.8059184402227402
2,Mutualistic09_route_memory_only,3,6 vs 7,0.0008058602309208851,0.19159738533198833,0.5035898424685001
2,Mutualistic09_latent_only,0,0 vs 1,0.03584895026870072,0.0034403473255224526,0.010541458206716925
2,Mutualistic09_latent_only,1,2 vs 3,1.1362671703100204,0.002778914727969095,0.018554391572251916
2,Mutualistic09_latent_only,2,4 vs 5,0.6003369092941284,0.003387527947779745,0.0008591528130637016
2,Mutualistic09_latent_only,3,6 vs 7,0.0011326539191145457,0.005035047826822847,0.0012226381368236616
2,Mutualistic09_route_plus_latent,0,0 vs 1,0.027946827467530966,0.00477456214139238,0.013648187043145299
2,Mutualistic09_route_plus_latent,1,2 vs 3,0.021224041702225804,0.0031772015208844095,0.005290083005093038
2,Mutualistic09_route_plus_latent,2,4 vs 5,3.3503695364700548e-06,0.005667470919433981,0.0012944885784236249
2,Mutualistic09_route_plus_latent,3,6 vs 7,6.718754359624768e-05,0.0037316939560696483,0.0009489698095421772
2,Mutualistic09_full_functional_memory,0,0 vs 1,0.0035250195651315153,0.005034893925767392,0.0037909995298832655
2,Mutualistic09_full_functional_memory,1,2 vs 3,0.08437508903443813,0.005654179782141,0.004746298160171136
2,Mutualistic09_full_functional_memory,2,4 vs 5,0.0028208870644448325,0.0031416253186762333,0.0002559665854278137
2,Mutualistic09_full_functional_memory,3,6 vs 7,0.00018318333059141878,0.004030326701467857,0.00016251054239546647
3,Mutualistic09_distill_only,0,0 vs 1,0.0142954959301278,0.4530251808464527,0.0034582886146381497
3,Mutualistic09_distill_only,1,2 vs 3,0.002088673340040259,0.2136474084109068,0.00203868918470107
3,Mutualistic09_distill_only,2,4 vs 5,0.0027795374880952295,0.22625439427793026,0.0007377267327228765
3,Mutualistic09_distill_only,3,6 vs 7,0.0010631637132973992,0.13623503036797047,5.598960478891968e-05
3,Mutualistic09_route_memory_only,0,0 vs 1,0.0618343036621809,0.4689103215932846,1.6908183693885803
3,Mutualistic09_route_memory_only,1,2 vs 3,0.004808044788660482,0.30829504504799843,0.4430742748081684
3,Mutualistic09_route_memory_only,2,4 vs 5,0.004503276210016338,0.20113257691264153,0.44895076751708984
3,Mutualistic09_route_memory_only,3,6 vs 7,0.002298648341820808,0.21342657692730427,0.5406075343489647
3,Mutualistic09_latent_only,0,0 vs 1,0.3984844833612442,0.005827930697705597,0.007352672633714974
3,Mutualistic09_latent_only,1,2 vs 3,0.8247926160693169,0.0024288309505209327,0.011765658826334402
3,Mutualistic09_latent_only,2,4 vs 5,0.002615366908685246,0.004791120591107756,0.001261347297258908
3,Mutualistic09_latent_only,3,6 vs 7,7.383040701824939e-05,0.002504086645785719,0.0002615265248095966
3,Mutualistic09_route_plus_latent,0,0 vs 1,0.18398217484354973,0.007602762489113957,0.007711082143941894
3,Mutualistic09_route_plus_latent,1,2 vs 3,0.18528158031404018,0.0033559697039891034,0.009770080156158656
3,Mutualistic09_route_plus_latent,2,4 vs 5,0.003056086672586389,0.004507486504735425,0.0010271426290273666
3,Mutualistic09_route_plus_latent,3,6 vs 7,8.920125679878765e-06,0.0026011950249085203,0.00048504729420528747
3,Mutualistic09_full_functional_memory,0,0 vs 1,0.008380151237361133,0.005356826703064144,0.004160635115113109
3,Mutualistic09_full_functional_memory,1,2 vs 3,6.502800988528179e-05,0.0006733330083079636,0.001313117223617155
3,Mutualistic09_full_functional_memory,2,4 vs 5,0.0018334485248487908,0.008896592655219138,0.002342336906622222
3,Mutualistic09_full_functional_memory,3,6 vs 7,7.411098774667835e-07,0.002448207698762417,0.00028247306909179315
4,Mutualistic09_distill_only,0,0 vs 1,0.00771104238810949,0.2948453724384308,0.006187825551023707
4,Mutualistic09_distill_only,1,2 vs 3,0.015520912478677928,0.2395295612514019,0.002709042528294958
4,Mutualistic09_distill_only,2,4 vs 5,0.0009519910563540179,0.22264176048338413,0.0010727728872552689
4,Mutualistic09_distill_only,3,6 vs 7,1.8886627145775492e-05,0.1625370755791664,6.37672244465648e-05
4,Mutualistic09_route_memory_only,0,0 vs 1,0.045832840260118246,0.29423560947179794,0.7158480361104012
4,Mutualistic09_route_memory_only,1,2 vs 3,0.02033355098683387,0.27533602342009544,0.6495056077837944
4,Mutualistic09_route_memory_only,2,4 vs 5,0.012508004976552911,0.21946017444133759,0.37155856564641
4,Mutualistic09_route_memory_only,3,6 vs 7,0.007204032444860786,0.23750347085297108,0.970921702682972
4,Mutualistic09_latent_only,0,0 vs 1,0.09880123566836119,0.006758537027053535,0.02790324145462364
4,Mutualistic09_latent_only,1,2 vs 3,0.27580601349473,0.002076624659821391,0.008832071500364691
4,Mutualistic09_latent_only,2,4 vs 5,0.00041397309132662485,0.007058338320348412,0.0012645052083826158
4,Mutualistic09_latent_only,3,6 vs 7,7.060435508776663e-05,0.002736275549978018,0.0007006012165220454
4,Mutualistic09_route_plus_latent,0,0 vs 1,0.025853149127215147,0.0065308400662615895,0.01833005461958237
4,Mutualistic09_route_plus_latent,1,2 vs 3,0.039872187189757824,0.0029359732870943844,0.00967504651634954
4,Mutualistic09_route_plus_latent,2,4 vs 5,0.0053060475693200715,0.007622510602232069,0.000881267522345297
4,Mutualistic09_route_plus_latent,3,6 vs 7,0.00018876932699640747,0.0026426258991705254,0.0007291502915904857
4,Mutualistic09_full_functional_memory,0,0 vs 1,0.013265784073155373,0.004252958431607112,0.008638957675429992
4,Mutualistic09_full_functional_memory,1,2 vs 3,0.006074397708289325,0.002994373789988458,0.0059276487154420465
4,Mutualistic09_full_functional_memory,2,4 vs 5,0.0013318436040208326,0.003813161893049255,0.0008936287049436942
4,Mutualistic09_full_functional_memory,3,6 vs 7,0.0001791434155791194,0.0023453116737073287,0.0005699465409634286
5,Mutualistic09_distill_only,0,0 vs 1,0.0023351134950644337,0.3842226341366768,0.0045269898837432265
5,Mutualistic09_distill_only,1,2 vs 3,0.0007039271895337151,0.3278098665177822,0.001863649238657672
