seed,model,after_task,task_id,task_name,acc,route_entropy,route_dominance
1,Mutualistic09_route_plus_latent,3,2,4 vs 5,0.9995,0.02298871788661927,0.9962598383426666
1,Mutualistic09_route_plus_latent,3,3,6 vs 7,1.0,0.00509872603288386,0.9992373958230019
1,Mutualistic09_route_plus_latent,4,0,0 vs 1,0.985,0.2911768602207303,0.9148196578025818
1,Mutualistic09_route_plus_latent,4,1,2 vs 3,0.9715,0.6817056760191917,0.5832758843898773
1,Mutualistic09_route_plus_latent,4,2,4 vs 5,0.9995,0.015565694950055331,0.9968696869909763
1,Mutualistic09_route_plus_latent,4,3,6 vs 7,1.0,0.020906399586237967,0.9955291338264942
1,Mutualistic09_route_plus_latent,4,4,8 vs 9,0.9975,0.01365749494289048,0.9963202215731144
1,Mutualistic09_full_functional_memory,0,0,0 vs 1,0.9885,0.11265178211033344,0.9646681100130081
1,Mutualistic09_full_functional_memory,1,0,0 vs 1,0.99,0.12230919441208243,0.9639937207102776
1,Mutualistic09_full_functional_memory,1,1,2 vs 3,0.97,0.13097413536161184,0.9527061767876148
1,Mutualistic09_full_functional_memory,2,0,0 vs 1,0.989,0.16147544281557202,0.9525390639901161
1,Mutualistic09_full_functional_memory,2,1,2 vs 3,0.97,0.23902977909892797,0.9241800457239151
1,Mutualistic09_full_functional_memory,2,2,4 vs 5,0.9995,0.008249276841524988,0.9986308068037033
1,Mutualistic09_full_functional_memory,3,0,0 vs 1,0.9895,0.19322739215567708,0.946649581193924
1,Mutualistic09_full_functional_memory,3,1,2 vs 3,0.972,0.20311026647686958,0.9419200159609318
1,Mutualistic09_full_functional_memory,3,2,4 vs 5,0.9995,0.0198200888116844,0.9967850185930729
1,Mutualistic09_full_functional_memory,3,3,6 vs 7,1.0,0.0023101192782633007,0.9996813200414181
1,Mutualistic09_full_functional_memory,4,0,0 vs 1,0.9895,0.196078990586102,0.9433056637644768
1,Mutualistic09_full_functional_memory,4,1,2 vs 3,0.971,0.20359950978308916,0.941005177795887
1,Mutualistic09_full_functional_memory,4,2,4 vs 5,1.0,0.011623567377682775,0.997687853872776
1,Mutualistic09_full_functional_memory,4,3,6 vs 7,1.0,0.008733837341424078,0.9983482584357262
1,Mutualistic09_full_functional_memory,4,4,8 vs 9,0.998,0.0060892644469277,0.9984263703227043
2,Mutualistic09_distill_only,0,0,0 vs 1,0.99,0.10405053524300456,0.9686913192272186
2,Mutualistic09_distill_only,1,0,0 vs 1,0.99,0.12603052519261837,0.9631696380674839
2,Mutualistic09_distill_only,1,1,2 vs 3,0.9685,0.22955880500376225,0.9178866744041443
2,Mutualistic09_distill_only,2,0,0 vs 1,0.9895,0.12220718385651708,0.9640641622245312
2,Mutualistic09_distill_only,2,1,2 vs 3,0.9675,0.23507271893322468,0.915135208517313
2,Mutualistic09_distill_only,2,2,4 vs 5,0.9995,0.003569986372895073,0.9994538240134716
2,Mutualistic09_distill_only,3,0,0 vs 1,0.99,0.12267290335148573,0.9639124684035778
2,Mutualistic09_distill_only,3,1,2 vs 3,0.9675,0.2381493654102087,0.9137705825269222
2,Mutualistic09_distill_only,3,2,4 vs 5,0.9995,0.0016173648400581442,0.9997506774961948
2,Mutualistic09_distill_only,3,3,6 vs 7,1.0,0.0003452309820204391,0.9999579377472401
2,Mutualistic09_distill_only,4,0,0 vs 1,0.9905,0.13295726338401437,0.9612642638385296
2,Mutualistic09_distill_only,4,1,2 vs 3,0.967,0.25575524661689997,0.9081754945218563
2,Mutualistic09_distill_only,4,2,4 vs 5,0.9995,0.0020573925139615312,0.9996869787573814
2,Mutualistic09_distill_only,4,3,6 vs 7,1.0,8.007903727502708e-05,0.9999922290444374
2,Mutualistic09_distill_only,4,4,8 vs 9,0.9975,0.0005194707737814497,0.9999087527394295
2,Mutualistic09_route_memory_only,0,0,0 vs 1,0.99,0.10405053524300456,0.9686913192272186
2,Mutualistic09_route_memory_only,1,0,0 vs 1,0.8955,0.07339762663468719,0.9780686534941196
2,Mutualistic09_route_memory_only,1,1,2 vs 3,0.9695,0.0961373602040112,0.9702008590102196
2,Mutualistic09_route_memory_only,2,0,0 vs 1,0.497,0.063837033463642,0.9802307412028313
2,Mutualistic09_route_memory_only,2,1,2 vs 3,0.5385,0.0800077524036169,0.9750754311680794
2,Mutualistic09_route_memory_only,2,2,4 vs 5,0.9995,0.00997570512117818,0.9961073286831379
2,Mutualistic09_route_memory_only,3,0,0 vs 1,0.458,0.10247402871027589,0.9697201624512672
2,Mutualistic09_route_memory_only,3,1,2 vs 3,0.444,0.11158081237226725,0.9643840752542019
2,Mutualistic09_route_memory_only,3,2,4 vs 5,0.9925,0.006531069528136868,0.9973346814513206
2,Mutualistic09_route_memory_only,3,3,6 vs 7,1.0,0.0014193680874541315,0.999555304646492
2,Mutualistic09_route_memory_only,4,0,0 vs 1,0.7475,0.10856644902378321,0.9672349914908409
2,Mutualistic09_route_memory_only,4,1,2 vs 3,0.4095,0.10480771865695715,0.9677433930337429
2,Mutualistic09_route_memory_only,4,2,4 vs 5,0.356,0.009577810036716983,0.9960687421262264
2,Mutualistic09_route_memory_only,4,3,6 vs 7,0.734,0.0009834297093220812,0.9996595717966557
2,Mutualistic09_route_memory_only,4,4,8 vs 9,0.9975,0.0024197774664571625,0.9990971721708775
2,Mutualistic09_latent_only,0,0,0 vs 1,0.99,0.10405053524300456,0.9686913192272186
2,Mutualistic09_latent_only,1,0,0 vs 1,0.988,0.10450011398643255,0.9653469771146774
2,Mutualistic09_latent_only,1,1,2 vs 3,0.964,0.19837740063667297,0.9313771165907383
2,Mutualistic09_latent_only,2,0,0 vs 1,0.986,0.09984941221773624,0.9685453437268734
2,Mutualistic09_latent_only,2,1,2 vs 3,0.9695,0.2362027233466506,0.9176116362214088
2,Mutualistic09_latent_only,2,2,4 vs 5,1.0,0.054855372523888946,0.9809523932635784
2,Mutualistic09_latent_only,3,0,0 vs 1,0.9865,0.20256372168660164,0.9414269030094147
2,Mutualistic09_latent_only,3,1,2 vs 3,0.973,0.03270329465158284,0.9949913062155247
2,Mutualistic09_latent_only,3,2,4 vs 5,1.0,0.28300558775663376,0.9013779200613499
2,Mutualistic09_latent_only,3,3,6 vs 7,0.9995,0.0020725095018860884,0.9994872882962227
2,Mutualistic09_latent_only,4,0,0 vs 1,0.9865,0.21310095582157373,0.9341348335146904
2,Mutualistic09_latent_only,4,1,2 vs 3,0.9725,0.042598495027050376,0.9934284538030624
2,Mutualistic09_latent_only,4,2,4 vs 5,1.0,0.385189576074481,0.8594899289309978
2,Mutualistic09_latent_only,4,3,6 vs 7,1.0,0.006060297222575173,0.9986674077808857
2,Mutualistic09_latent_only,4,4,8 vs 9,0.997,0.005220914325036574,0.9988884776830673
2,Mutualistic09_route_plus_latent,0,0,0 vs 1,0.99,0.10405053524300456,0.9686913192272186
2,Mutualistic09_route_plus_latent,1,0,0 vs 1,0.991,0.08816291205585003,0.9738338217139244
2,Mutualistic09_route_plus_latent,1,1,2 vs 3,0.9675,0.14494704082608223,0.9525188729166985
2,Mutualistic09_route_plus_latent,2,0,0 vs 1,0.988,0.11394292628392577,0.9660623036324978
2,Mutualistic09_route_plus_latent,2,1,2 vs 3,0.9675,0.18534738570451736,0.9420002661645412
2,Mutualistic09_route_plus_latent,2,2,4 vs 5,1.0,0.00033814512244134676,0.999961256980896
2,Mutualistic09_route_plus_latent,3,0,0 vs 1,0.9895,0.23127927351742983,0.9345628619194031
