seed,model,task_id,task_name,best_acc,final_acc,per_task_forgetting
5,Mutualistic09_latent_only,4,8 vs 9,0.9975,0.9975,0.0
5,Mutualistic09_route_memory_only,0,0 vs 1,0.9925,0.1475,0.8450000000000001
5,Mutualistic09_route_memory_only,1,2 vs 3,0.97,0.56,0.4099999999999999
5,Mutualistic09_route_memory_only,2,4 vs 5,1.0,0.0165,0.9835
5,Mutualistic09_route_memory_only,3,6 vs 7,0.9995,0.779,0.22050000000000003
5,Mutualistic09_route_memory_only,4,8 vs 9,0.9975,0.9975,0.0
5,Mutualistic09_route_plus_latent,0,0 vs 1,0.9925,0.987,0.00550000000000006
5,Mutualistic09_route_plus_latent,1,2 vs 3,0.969,0.969,0.0
5,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,1.0,0.0
5,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
5,Mutualistic09_route_plus_latent,4,8 vs 9,0.9975,0.9975,0.0
6,Mutualistic09_distill_only,0,0 vs 1,0.988,0.987,0.0010000000000000009
6,Mutualistic09_distill_only,1,2 vs 3,0.968,0.967,0.0010000000000000009
6,Mutualistic09_distill_only,2,4 vs 5,1.0,1.0,0.0
6,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
6,Mutualistic09_distill_only,4,8 vs 9,0.998,0.998,0.0
6,Mutualistic09_full_functional_memory,0,0 vs 1,0.987,0.987,0.0
6,Mutualistic09_full_functional_memory,1,2 vs 3,0.969,0.9685,0.0004999999999999449
6,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,1.0,0.0
6,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
6,Mutualistic09_full_functional_memory,4,8 vs 9,0.998,0.998,0.0
6,Mutualistic09_latent_only,0,0 vs 1,0.988,0.9865,0.0014999999999999458
6,Mutualistic09_latent_only,1,2 vs 3,0.968,0.965,0.0030000000000000027
6,Mutualistic09_latent_only,2,4 vs 5,1.0,1.0,0.0
6,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
6,Mutualistic09_latent_only,4,8 vs 9,0.9975,0.9975,0.0
6,Mutualistic09_route_memory_only,0,0 vs 1,0.986,0.9235,0.0625
6,Mutualistic09_route_memory_only,1,2 vs 3,0.9635,0.571,0.39250000000000007
6,Mutualistic09_route_memory_only,2,4 vs 5,1.0,0.664,0.33599999999999997
6,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.9975,0.0024999999999999467
6,Mutualistic09_route_memory_only,4,8 vs 9,0.998,0.998,0.0
6,Mutualistic09_route_plus_latent,0,0 vs 1,0.987,0.987,0.0
6,Mutualistic09_route_plus_latent,1,2 vs 3,0.9705,0.9605,0.010000000000000009
6,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,0.999,0.0010000000000000009
6,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
6,Mutualistic09_route_plus_latent,4,8 vs 9,0.9975,0.9975,0.0
7,Mutualistic09_distill_only,0,0 vs 1,0.9885,0.987,0.0015000000000000568
7,Mutualistic09_distill_only,1,2 vs 3,0.975,0.9745,0.0004999999999999449
7,Mutualistic09_distill_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
7,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
7,Mutualistic09_distill_only,4,8 vs 9,0.9975,0.9975,0.0
7,Mutualistic09_full_functional_memory,0,0 vs 1,0.9825,0.982,0.000500000000000056
7,Mutualistic09_full_functional_memory,1,2 vs 3,0.9675,0.9675,0.0
7,Mutualistic09_full_functional_memory,2,4 vs 5,0.9995,0.9995,0.0
7,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
7,Mutualistic09_full_functional_memory,4,8 vs 9,0.9975,0.9975,0.0
7,Mutualistic09_latent_only,0,0 vs 1,0.986,0.986,0.0
7,Mutualistic09_latent_only,1,2 vs 3,0.9725,0.9725,0.0
7,Mutualistic09_latent_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
7,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
7,Mutualistic09_latent_only,4,8 vs 9,0.998,0.998,0.0
7,Mutualistic09_route_memory_only,0,0 vs 1,0.986,0.4995,0.4865
7,Mutualistic09_route_memory_only,1,2 vs 3,0.9705,0.501,0.46950000000000003
7,Mutualistic09_route_memory_only,2,4 vs 5,1.0,0.266,0.734
7,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.8635,0.13649999999999995
7,Mutualistic09_route_memory_only,4,8 vs 9,0.998,0.998,0.0
7,Mutualistic09_route_plus_latent,0,0 vs 1,0.986,0.983,0.0030000000000000027
7,Mutualistic09_route_plus_latent,1,2 vs 3,0.9745,0.971,0.0035000000000000586
7,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,1.0,0.0
7,Mutualistic09_route_plus_latent,3,6 vs 7,0.9995,0.9995,0.0
7,Mutualistic09_route_plus_latent,4,8 vs 9,0.9975,0.9975,0.0
8,Mutualistic09_distill_only,0,0 vs 1,0.9885,0.987,0.0015000000000000568
8,Mutualistic09_distill_only,1,2 vs 3,0.9755,0.975,0.000500000000000056
8,Mutualistic09_distill_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
8,Mutualistic09_distill_only,3,6 vs 7,1.0,1.0,0.0
8,Mutualistic09_distill_only,4,8 vs 9,0.997,0.997,0.0
8,Mutualistic09_full_functional_memory,0,0 vs 1,0.99,0.99,0.0
8,Mutualistic09_full_functional_memory,1,2 vs 3,0.972,0.9705,0.0014999999999999458
8,Mutualistic09_full_functional_memory,2,4 vs 5,1.0,0.9995,0.0004999999999999449
8,Mutualistic09_full_functional_memory,3,6 vs 7,1.0,1.0,0.0
8,Mutualistic09_full_functional_memory,4,8 vs 9,0.997,0.997,0.0
8,Mutualistic09_latent_only,0,0 vs 1,0.9885,0.9865,0.0020000000000000018
8,Mutualistic09_latent_only,1,2 vs 3,0.9745,0.9685,0.006000000000000005
8,Mutualistic09_latent_only,2,4 vs 5,1.0,0.9995,0.0004999999999999449
8,Mutualistic09_latent_only,3,6 vs 7,1.0,1.0,0.0
8,Mutualistic09_latent_only,4,8 vs 9,0.998,0.998,0.0
8,Mutualistic09_route_memory_only,0,0 vs 1,0.9885,0.5,0.48850000000000005
8,Mutualistic09_route_memory_only,1,2 vs 3,0.9725,0.584,0.38850000000000007
8,Mutualistic09_route_memory_only,2,4 vs 5,1.0,0.4215,0.5785
8,Mutualistic09_route_memory_only,3,6 vs 7,1.0,0.7685,0.23150000000000004
8,Mutualistic09_route_memory_only,4,8 vs 9,0.998,0.998,0.0
8,Mutualistic09_route_plus_latent,0,0 vs 1,0.9885,0.986,0.0025000000000000577
8,Mutualistic09_route_plus_latent,1,2 vs 3,0.9735,0.97,0.0035000000000000586
8,Mutualistic09_route_plus_latent,2,4 vs 5,1.0,0.9995,0.0004999999999999449
8,Mutualistic09_route_plus_latent,3,6 vs 7,1.0,1.0,0.0
8,Mutualistic09_route_plus_latent,4,8 vs 9,0.9965,0.9965,0.0
9,Mutualistic09_distill_only,0,0 vs 1,0.99,0.9875,0.0024999999999999467
