seed,model,task_id,task_name,epoch,lambda_route_memory,lambda_distill,lambda_latent,lambda_entropy,task_loss,entropy,dominance,mutualism_violation,gain_mean,gain_min,route_memory_loss,distill_loss,latent_loss,alpha,total_loss
7,Mutualistic09_full_functional_memory,3,6 vs 7,2,2.0,1.0,1.0,0.006,0.011121760231462564,0.016653640374065713,0.9960474612865042,4.138462755881943e-06,0.15982976999688656,-1.9711521553232316e-05,0.0005686808160154466,0.0011384896376725048,0.009104157005377273,0.0,0.03302183394577909
7,Mutualistic09_full_functional_memory,3,6 vs 7,3,2.0,1.0,1.0,0.006,0.007949914585085625,0.00840845189869721,0.9985103772041646,2.5900893102338632e-06,0.19626070844366195,-1.243343378635163e-05,0.0005318421700259081,0.0005975216237005797,0.00631350406663532,0.5,0.025018760577795354
7,Mutualistic09_full_functional_memory,3,6 vs 7,14,2.0,1.0,1.0,0.006,0.0019446533851999236,0.003480375893017713,0.9994797909513433,1.7744222021271733e-07,0.15836215209453663,-8.332315198284515e-07,0.0005337417543218025,0.00031946301262112374,0.0012339543058299163,1.0,0.009242304501698372
7,Mutualistic09_full_functional_memory,4,8 vs 9,0,2.0,1.0,1.0,0.006,0.11348305044180536,0.06920237851111179,0.9712786788636065,0.0008642680770980468,0.0992334017807499,-0.0027884290494183278,0.0006568972424615144,0.0156192336375983,0.03476913796955759,0.0,0.18472869250368565
7,Mutualistic09_full_functional_memory,4,8 vs 9,2,2.0,1.0,1.0,0.006,0.01266367286641864,0.07203999756181494,0.9709456309359125,5.310579634560894e-06,0.12487297330765014,-2.4071379386364145e-05,0.0005643967181621268,0.0017724370601230322,0.007650759269265418,0.0,0.03659554166679687
7,Mutualistic09_full_functional_memory,4,8 vs 9,3,2.0,1.0,1.0,0.006,0.009529296080879074,0.058342261596563014,0.9772590107106148,3.4160814106721146e-06,0.12497558983716558,-1.581145965672554e-05,0.0005129589978636471,0.0012506877822662764,0.0062814248884294896,0.5,0.02948837846200517
7,Mutualistic09_full_functional_memory,4,8 vs 9,14,2.0,1.0,1.0,0.006,0.001970650868470523,0.014885656753594571,0.9940805726862968,6.13711869766225e-08,0.12167675317601954,-2.568493537763332e-07,0.0005881992458059958,0.0003869810161438394,0.001470263502461479,1.0,0.0099649360958249
8,Mutualistic09_distill_only,0,0 vs 1,0,0.0,1.0,0.0,0.005,0.18170596841484943,0.6201706687186627,0.7583505821988937,0.0010250940920528554,0.030310072392123712,-0.004525188198114963,0.0,0.0,0.0,0.0,0.20188854420755772
8,Mutualistic09_distill_only,0,0 vs 1,2,0.0,1.0,0.0,0.005,0.030491286432965004,0.18008018174069992,0.9503783926050714,0.00031391344445898755,0.06266939511245236,-0.00103247565950485,0.0,0.0,0.0,0.0,0.04253048033631863
8,Mutualistic09_distill_only,0,0 vs 1,3,0.0,1.0,0.0,0.005,0.02676447683033791,0.18586977872442692,0.9483451513533897,0.00036158643978466144,0.06117995010015178,-0.001401955886010794,0.0,0.0,0.0,0.5,0.036745667061273087
