seed,model,after_task,task_id,task_name,host_0,host_1,host_2,host_3,host_4
1,Mutualistic09_full_functional_memory,4,2,4 vs 5,0.5003600716590881,0.4988035559654236,0.00010769594518933445,0.0007238215766847134,4.844685008720262e-06
1,Mutualistic09_full_functional_memory,4,3,6 vs 7,0.4999879002571106,0.0016267900355160236,2.170895277231466e-05,0.4983599781990051,3.5983043744636234e-06
1,Mutualistic09_full_functional_memory,4,4,8 vs 9,0.5017806887626648,0.49767473340034485,0.00046912109246477485,2.947129360109102e-05,4.5948323531774804e-05
2,Mutualistic09_distill_only,0,0,0 vs 1,0.0019304060842841864,0.004387660883367062,0.46510547399520874,0.01193821057677269,0.5166382193565369
2,Mutualistic09_distill_only,1,0,0 vs 1,0.00426458427682519,0.007277903612703085,0.4456802010536194,0.0076268515549600124,0.5351504683494568
2,Mutualistic09_distill_only,1,1,2 vs 3,0.00864772405475378,0.01781407929956913,0.2620847523212433,0.003322556149214506,0.7081308960914612
2,Mutualistic09_distill_only,2,0,0 vs 1,0.003560790326446295,0.006583365146070719,0.4472344219684601,0.007363857235759497,0.5352575778961182
2,Mutualistic09_distill_only,2,1,2 vs 3,0.008096059784293175,0.019925907254219055,0.2739796042442322,0.003551308996975422,0.6944471597671509
2,Mutualistic09_distill_only,2,2,4 vs 5,6.051558102626586e-06,7.242720312206075e-05,0.00023381262144539505,0.00023750824038870633,0.9994502067565918
2,Mutualistic09_distill_only,3,0,0 vs 1,0.0034824556205421686,0.006848956923931837,0.44825097918510437,0.007112578954547644,0.5343050360679626
